"",l-query1,cnt-query1,memory
1,5270.85,31.0,19.23076923076923
2,5507.888888888889,64.0,19.0
3,6010.25,100.0,19.5
4,5507.611111111111,133.0,19.0
5,6164.894736842105,167.0,19.25
6,5379.0526315789475,202.0,19.25
7,6167.0,236.0,19.5
8,5506.5,269.0,19.25
9,5508.555555555556,302.0,19.333333333333332
