"",l-query1,cnt-query1,memory
1,5264.2,31.0,20.039609688978928
2,5508.888888888889,64.0,19.829033215840656
3,6011.15,100.0,19.863713184992474
4,5507.333333333333,133.0,19.895911534627277
5,6165.0,167.0,19.906327724456787
6,5513.666666666667,200.0,19.94737720489502
7,6006.0,236.0,19.967993021011353
8,5511.0,269.0,19.976067463556927
9,5509.333333333333,302.0,20.005600531895954
10,6008.65,338.0,20.02596926689148
11,5505.777777777777,371.0,20.040579080581665
12,6164.473684210527,405.0,20.066102743148804
13,5507.666666666667,438.0,20.086352984110516
14,5374.210526315789,473.0,20.117213408152264
15,6167.789473684211,507.0,20.143195072809856
16,5506.111111111111,540.0,20.160019079844158
17,6167.315789473684,574.0,19.833701531092327
18,5376.8421052631575,609.0,20.076739231745403
19,5517.888888888889,642.0,19.83927830060323
20,6163.473684210527,676.0,19.852036237716675
21,5505.333333333333,709.0,19.87193973859151
22,6007.65,745.0,19.898804267247517
23,5505.333333333333,778.0,19.927611748377483
24,5505.333333333333,811.0,19.94085144996643
25,6011.0,847.0,19.98012900352478
26,5505.722222222223,880.0,19.987760464350384
27,6162.9473684210525,914.0,20.01356267929077
28,5505.166666666667,947.0,20.013083855311077
29,5384.894736842105,982.0,20.032119909922283
30,6505.388888888889,1014.0,20.064048449198406
31,7852.384615384615,1037.0,20.092175881067913
32,14338.333333333334,1051.0,20.092838923136394
