"",latency-Q2,memory
1,638.420731707317,26.34416961669922
2,919.2564935064935,33.17711321512858
3,2848.4864864864867,37.9149595896403
4,3153.6875,41.389777501424156
5,3582.310344827586,45.60117530822754
6,3540.240740740741,49.73015149434408
7,3922.408163265306,54.2627862294515
8,4517.1463414634145,59.04407755533854
9,5226.916666666667,64.56921005249023
10,5249.28125,69.49890963236491
11,11987.3125,75.52479998270671
12,5902.068965517241,81.40234883626302
13,6144.428571428572,88.12084579467773
14,6966.076923076923,93.3994935353597
15,11002.066666666668,99.54524230957031
