"",latency-Q3,memory
1,1420.1507936507937,74.21683326134315
2,1221.7561983471073,79.076478322347
3,1313.8658536585365,80.14600944519043
4,1277.8688524590164,81.12421735127766
5,1230.1926229508197,82.80297088623047
6,1233.2731092436975,84.34811528523763
7,1265.7625,85.78500556945801
8,1306.954918032787,87.09017626444499
9,1350.5217391304348,87.30569521586101
10,NaN,88.60688591003418
11,NaN,87.82912317911784
12,NaN,87.4414176940918
13,NaN,87.83107821146648
14,NaN,87.44272041320801
15,NaN,87.830628712972
