"",latency-Q10,memory
1,1958.547619047619,72.80663769061749
2,1375.7916666666667,77.51083755493164
3,1383.5,77.7639954884847
4,1437.2627118644068,77.91890652974446
5,1488.925,77.8470884958903
6,1657.9112903225807,79.25989214579265
7,1455.95,78.64164861043294
8,1433.4583333333333,78.65603192647298
9,1518.975,78.87303034464519
10,1467.925,79.20949999491374
11,1527.0081967213114,79.58697764078777
12,1441.698275862069,79.76094055175781
13,1414.2666666666667,79.88107744852702
14,1513.4262295081967,80.10075378417969
15,1489.1311475409836,80.60935401916504
