"",latency-Q8,memory
1,8.866141732283465,22.832659794734074
2,3.5833333333333335,23.916115442911785
3,127.56603773584905,24.537622451782227
4,503.6585365853659,23.629153569539387
5,502.3875,23.849071502685547
6,498.9268292682927,24.02479298909505
7,498.825,24.28607114156087
8,499.6219512195122,24.464511235555012
9,497.35,24.92247200012207
10,495.6341463414634,25.000153223673504
11,493.7875,26.700395584106445
12,492.9875,25.278729756673176
13,491.719512195122,25.467986424763996
14,490.2375,25.688093821207683
15,489.1375,25.886876424153645
