"",latency-Q2,memory
1,2897.1428571428573,584.3061167399088
2,NaN,3085.9057333809988
3,44368.44155844156,4135.039035252163
4,NaN,4097.402835845947
5,NaN,4531.679506574358
6,NaN,4085.680892944336
7,NaN,4147.812477959527
8,NaN,4183.356209754944
9,NaN,4483.186877250671
10,NaN,4117.773215293884
11,NaN,4120.800935745239
12,NaN,4287.516736984253
13,NaN,4410.71377658844
14,NaN,4151.66260433197
