"",latency-Q11,memory
1,42.03825136612022,27.689294668344353
2,15.903954802259888,28.273975372314453
3,15.405555555555555,28.594359079996746
4,15.242937853107344,28.994067509969074
5,15.122222222222222,29.270186106363933
6,15.081967213114755,30.21510378519694
7,15.094444444444445,29.257720947265625
8,15.288135593220339,29.744221369425457
9,15.105555555555556,29.930119196573894
10,16.016393442622952,30.235537846883137
11,15.056497175141242,29.94142023722331
12,15.066666666666666,30.29823112487793
13,15.05084745762712,30.806674321492512
14,15.027777777777779,31.365765889485676
15,14.994444444444444,32.08352025349935
