"",latency-Q1,memory
1,9307.313559322034,79.35593883807843
2,3964.951612903226,80.8829714457194
3,4335.172413793103,82.54240544637044
4,3983.5396825396824,83.87942949930827
5,4006.1875,83.23984146118164
6,6467.965753424657,85.53820610046387
7,4071.717741935484,84.98563575744629
8,3882.1583333333333,84.92687733968098
9,3926.2868852459014,85.63418769836426
10,3974.1693548387098,86.00769424438477
11,4091.2545454545457,87.27357800801595
12,4039.5,87.31473795572917
13,4139.087301587301,87.86549822489421
14,3925.6209677419356,88.44192504882812
15,3874.616666666667,89.56818008422852
