"",latency-Q9,memory
1,32.8421052631579,34.792817922738884
2,14.365853658536585,35.332810719807945
3,12.454545454545455,35.346893310546875
4,12.545454545454545,35.47015698750814
5,273.9047619047619,35.93003718058268
6,286.09090909090907,35.55963325500488
7,315.75,36.167101542154946
8,286.3636363636364,36.114161809285484
9,287.8181818181818,36.08924357096354
10,418.0,36.88287035624186
11,527.9090909090909,36.192298889160156
12,580.25,36.690579096476235
13,580.1111111111111,36.3673350016276
14,531.3181818181819,36.15505282084147
15,531.3,36.25410016377767
