"",latency-Q2,memory
1,1021.6357142857142,26.182692307692307
2,1945.104761904762,30.738183339436848
3,3622.4615384615386,35.28607749938965
4,4091.733333333333,39.28049914042155
5,5462.741935483871,43.30606015523275
6,7445.518518518518,49.24744097391764
7,4688.583333333333,56.2628370920817
8,7549.583333333333,65.3163210550944
9,4697.166666666667,73.97872670491536
10,10623.04347826087,82.60167757670085
11,4594.791666666667,92.04327964782715
12,4928.652173913043,100.13447825113933
13,4750.791666666667,108.86910311381023
14,11399.454545454546,118.15343602498372
15,5165.391304347826,127.69113731384277
