"",latency-Q7,memory
1,978.4765625,72.0759987464318
2,636.6166666666667,77.02330080668132
3,630.775,77.11739158630371
4,679.8166666666667,77.74611218770345
5,599.4583333333334,78.08851114908855
6,692.8166666666667,78.23085339864095
7,709.1779661016949,79.16930707295735
8,653.8166666666667,78.8242670694987
9,692.344262295082,78.93407440185547
10,639.3583333333333,79.27088864644368
11,660.9666666666667,80.20304489135742
12,834.1147540983607,80.12381807963054
13,669.2333333333333,80.7056344350179
14,668.3770491803278,80.70528602600098
15,712.3083333333333,81.2998758951823
