"",latency-Q5,memory
1,1034.765625,75.72962130033054
2,664.3,85.99608993530273
3,731.0338983050848,91.83216222127278
4,762.311475409836,98.26064173380534
5,611.2833333333333,103.57951227823894
6,612.1525423728814,109.46975898742676
7,742.1803278688525,115.1762580871582
8,650.2333333333333,121.18260447184245
9,731.2666666666667,127.41321627298991
10,694.7,133.69525591532388
11,653.4166666666666,138.41553179423013
12,688.6166666666667,144.78220876057944
13,697.3559322033898,150.3933277130127
14,679.5737704918033,156.25728352864584
15,645.1,162.100612004598
