"",latency-Q6,memory
1,46.009433962264154,36.82012000450721
2,29.21359223300971,39.106696446736656
3,44.470588235294116,40.19099680582682
4,36.53,41.027905782063804
5,27.601941747572816,42.37012926737467
6,33.254901960784316,43.719835917154946
7,27.987654320987655,44.62647565205892
8,8.254237288135593,44.60334587097168
9,8.203389830508474,45.18154780069987
10,7.913793103448276,45.418578465779625
11,7.762711864406779,45.57853889465332
12,7.830508474576271,45.79585520426432
13,7.879310344827586,45.95001792907715
14,7.966101694915254,46.25241724650065
15,7.793103448275862,46.57177988688151
