"",latency-Q7,memory
1,24.708661417322833,22.828030512883114
2,3.35,23.1405766805013
3,12.166666666666666,24.078664143880207
4,89.50450450450451,24.11537043253581
5,501.5625,24.165908177693684
6,499.280487804878,24.42724355061849
7,496.025,24.708330790201824
8,495.6341463414634,25.01373291015625
9,493.5365853658537,25.12564468383789
10,491.0375,25.406970977783203
11,488.7125,25.751644770304363
12,485.8658536585366,26.01521364847819
13,483.525,26.454962412516277
14,480.9375,27.11442756652832
15,479.4512195121951,26.700991948445637
